name,centroid_lat,centroid_lon,drainage_area,elevation_mean,elevation_min,elevation_max
12175500,6822438.2735,-3195358.359,376.5493,1569.6781,373.908,2728.8599
12178100,6837190.8327,-3203519.7443,100.2116,1275.5172,148.7657,2461.829
12186000,6791295.753,-3261678.9987,553.6946,1173.4542,278.9576,2356.974
12189500,6803353.1427,-3246695.6581,2573.2669,1146.1534,78.4045,3204.675
12375900,6325644.2239,-2817714.0821,25.7732,1903.6458,1007.4742,2604.3018
12377150,6306422.1154,-2828641.817,42.0403,2133.2197,1045.8414,2828.663
12381400,6279379.522,-2834678.0544,193.2831,1843.7416,1209.4933,2479.2053
12383500,6286004.5211,-2843369.1704,23.2863,1904.4624,1137.1102,2430.8174
12390700,6410445.0694,-2922002.7054,618.9439,1351.0815,725.3881,2048.8855
12411000,6480386.3148,-2941781.7083,1142.9704,1202.787,756.7412,1884.7316
12447390,6799985.8273,-3115329.9328,78.5086,1934.9288,1316.2246,2607.6282
12451000,6794534.8868,-3201316.9747,1141.4442,1534.2012,341.4785,2853.0537
12488500,6686031.2194,-3367367.8124,291.5227,1463.7372,832.5042,2110.876
13011500,5778349.8214,-2800782.7361,556.2088,2487.8296,2051.3958,3196.8037
13011900,5754374.5507,-2790042.9889,1093.2705,2733.3723,2066.1565,3449.9604
13018300,5733926.0852,-2861510.6374,38.2438,2506.6055,2038.6616,3131.8047
13023000,5679839.9457,-2903469.8077,1525.8046,2469.4534,1730.1472,3448.494
13161500,5803485.6066,-3376384.6153,1401.8918,2042.6385,1486.2513,3008.3918
13235000,6049137.8066,-3170741.8957,1582.2917,2078.2922,1146.557,3229.7698
13240000,6168074.0277,-3154501.8065,172.2354,2109.24,1562.5187,2719.914
13313000,6123145.4995,-3139348.0315,768.9592,2174.7878,1425.4536,2767.6995
13331500,6299562.1267,-3244515.2005,856.5364,1734.836,772.8196,2791.4526
14020000,6373017.2876,-3257072.7734,475.9864,1204.9164,564.4152,1679.3782
14096850,6508360.3748,-3544683.6146,561.2938,938.6017,659.6432,1697.7719
14137000,6562524.4433,-3548662.7622,999.0564,995.2231,168.1657,3393.8088
14138800,6575177.9748,-3536602.5049,31.3246,998.8004,706.8362,1329.1116
14138870,6585306.4802,-3541039.2171,22.0118,866.2274,330.4501,1278.1309
14138900,6593305.2167,-3537309.4987,32.0181,841.442,312.0602,1194.8219
14139800,6584361.061,-3545412.4466,59.5839,793.9454,269.8562,1272.3392
14141500,6583419.4589,-3549993.0594,87.916,726.2808,215.0438,1275.0858
14154500,6455567.2118,-3760539.1347,831.9808,858.9477,256.3443,1812.9738
14158790,6481924.3312,-3649756.0744,63.2705,1209.915,793.6239,1706.2664
14166500,6549411.8185,-3771370.0884,361.6952,247.3118,0.0,642.3152
14182500,6545442.9843,-3625222.7985,431.7547,805.76,192.3713,1657.392
14185000,6499957.5701,-3665236.1592,667.1946,897.5576,236.9128,1642.8701
14185900,6520159.9166,-3645200.3374,382.2424,917.7576,320.3783,1518.1632
14187000,6509222.3116,-3684873.4197,206.4155,734.0174,203.5316,1359.8181
14216500,6658952.8364,-3474540.7922,503.9778,919.0908,317.9219,2463.631
14222500,6637228.4886,-3530186.1353,478.4018,566.32,103.4426,1346.8042
14236200,6713909.9178,-3456403.3888,524.3308,668.1344,178.0862,1433.4799
14301000,6715761.8963,-3598847.9678,2566.9323,356.5784,0.0,1120.0781
14303200,6673199.1896,-3660025.8992,11.8353,643.4442,420.7792,859.964
14305500,6637379.2937,-3721583.9099,791.8148,396.2959,33.1975,1081.6853
14306340,6575303.6983,-3766982.9929,22.2441,543.7406,215.5638,1006.4801
